Mês;Ano;Volume_ligaçoes_atendidas;Volume_ligaçoes_perdidas;Atendimento_remoto;Atendimento_físico;Média_tempo_ligaçoes;SP;RJ;MG;RS;PE;PR;BA
Janeiro;2020;311716;67236;27819;283897;00:06:44;88545;38875;36803;40858;20153;11846;12633
Fevereiro;2020;283387;63253;22627;260760;00:06:48;75267;34067;33565;33160;21350;11529;14570
Março;2020;255298;77626;41438;213860;00:07:11;77484;32909;29863;29029;18684;12797;14996
Abril;2020;242528;66381;151672;90856;00:07:14;74228;30847;30187;25305;25305;11727;14614
Maio;2020;232930;59300;156779;76151;00:07:44;67817;29831;28306;25871;16572;11892;13103
Junho;2020;219604;59630;148352;71252;00:07:46;68229;26277;24833;24595;15312;12472;12466
Julho;2020;233925;64349;157988;75937;00:07:43;77131;29349;26735;26212;13286;13755;12897
Agosto;2020;258919;59965;173893;85026;00:07:10;81909;28007;28676;31043;15708;15809;17525
Setembro;2020;259484;89754;174689;84795;00:08:09;82117;35080;34221;29892;18386;15166;19361
Outubro;2020;265232;70555;178551;86681;00:07:31;83588;30581;31498;53253;17757;16840;18326
Novembro;2020;268156;93192;183560;84596;00:06:51;82022;29586;29383;26711;17383;17955;18365
Dezembro;2020;301419;50011;207337;94082;00:06:35;92152;35039;34643;28239;20245;18043;21164
Janeiro;2021;288716;54761;201250;54761;00:06:51;88613;33948;39120;26977;16091;16334;20745
Fevereiro;2021;269850;44989;190318;44989;00:06:38;81720;29079;37940;26102;14365;15611;18803
Março;2021;292510;51990;211619;51990;00:06:44;88282;33348;41413;25161;16743;19057;19847